imc,maigreur_1_19_ans,maigreur_5_9_ans,vaccination_hepatite_b,vaccination_polio,vaccination_diphterie,cas_rougeole,id_sante
43.6,3.0,3.0,51.0,79.0,77.0,1978,157
43.1,3.1,3.1,5.0,8.0,76.0,4353,158
42.6,3.1,3.1,5.0,77.0,77.0,574,159
42.1,3.2,3.1,5.0,75.0,76.0,210,160
64.5,2.5,2.5,95.0,95.0,95.0,0,161
63.8,2.5,2.5,96.0,96.0,96.0,0,162
63.2,2.5,2.5,97.0,97.0,97.0,0,163
62.6,2.5,2.5,96.0,99.0,98.0,0,164
62.0,2.5,2.5,95.0,97.0,98.0,0,165
61.3,2.5,2.5,98.0,97.0,99.0,0,166
6.7,2.5,2.5,95.0,97.0,96.0,0,167
6.1,2.5,2.5,9.0,93.0,93.0,0,168
59.4,2.5,2.5,93.0,95.0,95.0,0,169
58.7,2.5,2.5,96.0,94.0,95.0,0,170
58.1,2.6,2.5,93.0,93.0,93.0,0,171
57.4,2.6,2.5,93.0,92.0,93.0,0,172
56.7,2.6,2.5,88.0,93.0,92.0,0,173
56.0,2.6,2.6,89.0,93.0,94.0,0,174
55.2,2.7,2.6,21.0,98.0,99.0,0,175
54.4,2.7,2.6,21.0,91.0,99.0,0,176
63.6,6.2,6.1,98.0,98.0,98.0,0,177
62.9,6.1,6.0,98.0,98.0,98.0,46,178
62.2,6.1,6.0,99.0,99.0,99.0,0,179
61.5,6.1,6.0,99.0,99.0,99.0,0,180
6.8,6.1,6.0,99.0,99.0,99.0,0,181
6.1,6.0,5.9,99.0,99.0,99.0,0,182
59.3,6.0,5.9,98.0,97.0,98.0,3,183
58.5,6.0,5.9,97.0,97.0,97.0,2,184
57.6,6.1,5.9,97.0,97.0,97.0,7,185
56.8,6.1,5.9,98.0,98.0,98.0,3,186
56.1,6.1,5.9,98.0,98.0,98.0,4,187
55.6,6.1,5.9,98.0,98.0,98.0,11,188
55.2,6.1,5.9,98.0,97.0,97.0,12,189
55.0,6.2,5.9,98.0,98.0,98.0,8,190
54.8,6.2,6.0,99.0,99.0,99.0,5,191
54.5,6.2,6.0,97.0,97.0,97.0,6,192
18.3,17.9,18.3,97.0,97.0,97.0,240,193
17.7,18.1,18.6,97.0,97.0,97.0,289,194
17.0,18.3,18.8,96.0,96.0,96.0,237,195
16.4,18.5,19.0,94.0,94.0,94.0,1986,196
15.8,18.7,19.2,96.0,96.0,96.0,5625,197
15.2,18.9,19.4,94.0,94.0,94.0,788,198
14.6,19.1,19.7,97.0,97.0,97.0,718,199
14.0,19.3,19.9,96.0,96.0,96.0,2660,200
13.5,19.5,2.1,95.0,96.0,94.0,2924,201
13.0,19.7,2.3,86.0,95.0,94.0,6192,202
12.5,19.9,2.5,45.0,94.0,93.0,25934,203
12.0,2.1,2.7,11.0,88.0,99.0,9743,204
11.6,2.3,2.9,5.0,9.0,87.0,4067,205
11.2,2.5,21.1,5.0,83.0,83.0,3484,206
1.8,2.7,21.3,5.0,85.0,85.0,4414,207
1.4,2.9,21.5,5.0,83.0,82.0,5098,208
54.5,3.8,3.7,97.0,97.0,97.0,0,209
53.7,3.8,3.7,94.0,95.0,94.0,0,210
53.0,3.8,3.8,91.0,91.0,91.0,0,211
52.2,3.8,3.8,87.0,88.0,87.0,0,212
51.4,3.8,3.8,91.0,91.0,91.0,0,213
5.7,3.8,3.8,86.0,9.0,86.0,0,214
49.9,3.8,3.8,93.0,93.0,93.0,0,215
49.2,3.9,3.9,85.0,85.0,85.0,0,216
48.4,3.9,3.9,93.0,93.0,93.0,0,217
47.7,4.0,3.9,84.0,85.0,84.0,0,218
46.9,4.0,4.0,92.0,91.0,92.0,0,219
46.2,4.1,4.0,93.0,93.0,93.0,0,220
45.4,4.1,4.1,91.0,9.0,89.0,0,221
44.6,4.2,4.1,66.0,86.0,87.0,0,222
43.8,4.2,4.2,18.0,93.0,84.0,0,223
43.0,4.3,4.2,18.0,86.0,93.0,0,224
62.3,1.9,2.0,99.0,99.0,99.0,2,225
61.7,1.9,2.0,97.0,97.0,97.0,64,226
61.1,2.0,2.0,98.0,98.0,98.0,16,227
6.5,2.0,2.1,97.0,98.0,98.0,10,228
59.9,2.0,2.1,98.0,98.0,98.0,50,229
59.3,2.0,2.2,96.0,99.0,98.0,1,230
58.7,2.1,2.2,98.0,98.0,96.0,0,231
58.2,2.1,2.3,98.0,98.0,97.0,0,232
57.7,2.2,2.3,91.0,9.0,95.0,1,233
57.2,2.2,2.4,98.0,97.0,99.0,149,234
56.7,2.3,2.5,99.0,98.0,99.0,1,235
56.2,2.4,2.5,99.0,99.0,99.0,2,236
55.8,2.5,2.6,56.0,53.0,5.0,21,237
55.3,2.5,2.7,99.0,99.0,99.0,14,238
54.9,2.6,2.7,93.0,99.0,99.0,45,239
54.4,2.7,2.8,7.0,99.0,99.0,21,240
63.7,1.0,1.0,98.0,99.0,99.0,47,241
63.4,1.0,1.0,98.0,99.0,99.0,70,242
63.0,1.0,0.9,98.0,99.0,99.0,39,243
62.6,0.9,0.9,98.0,99.0,99.0,109,244
62.3,0.9,0.9,97.0,98.0,98.0,576,245
61.9,0.9,0.9,97.0,98.0,98.0,40,246
61.6,0.9,0.9,97.0,98.0,98.0,33,247
61.3,0.8,0.8,98.0,99.0,99.0,98,248
6.9,0.8,0.8,94.0,99.0,98.0,64,249
6.6,0.8,0.8,94.0,99.0,98.0,15,250
6.2,0.8,0.8,77.0,97.0,97.0,26,251
59.8,0.8,0.8,64.0,96.0,95.0,61,252
59.4,0.8,0.8,64.0,96.0,95.0,44,253
59.0,0.8,0.8,6.0,96.0,95.0,0,254
58.5,0.8,0.8,6.0,96.0,95.0,83,255
58.1,0.8,0.8,6.0,96.0,95.0,0,256
5.9,3.5,3.4,94.0,94.0,94.0,0,257
5.1,3.4,3.4,95.0,95.0,95.0,0,258
49.3,3.4,3.4,95.0,95.0,95.0,0,259
48.5,3.5,3.4,98.0,98.0,98.0,0,260
47.8,3.5,3.4,95.0,95.0,95.0,0,261
47.0,3.5,3.4,96.0,96.0,96.0,0,262
46.3,3.5,3.4,97.0,98.0,97.0,0,263
45.7,3.5,3.4,94.0,94.0,94.0,0,264
45.0,3.5,3.5,96.0,97.0,96.0,0,265
44.4,3.6,3.5,98.0,98.0,98.0,0,266
43.8,3.6,3.5,96.0,96.0,96.0,0,267
43.2,3.6,3.5,97.0,97.0,97.0,0,268
42.6,3.6,3.6,96.0,95.0,96.0,0,269
42.0,3.7,3.6,97.0,93.0,89.0,0,270
41.4,3.7,3.7,96.0,96.0,96.0,0,271
4.8,3.8,3.7,76.0,91.0,91.0,0,272
25.7,6.9,6.8,82.0,78.0,82.0,55,273
25.2,7.1,6.9,78.0,74.0,78.0,786,274
24.6,7.2,7.1,77.0,73.0,77.0,637,275
24.1,7.4,7.3,8.0,8.0,8.0,288,276
23.5,7.6,7.5,75.0,77.0,75.0,426,277
23.0,7.8,7.6,76.0,77.0,76.0,392,278
22.5,7.9,7.8,79.0,8.0,79.0,1461,279
22.0,8.1,8.0,75.0,77.0,75.0,928,280
21.5,8.3,8.2,82.0,82.0,82.0,341,281
21.0,8.5,8.4,74.0,76.0,74.0,176,282
2.5,8.7,8.6,7.0,73.0,7.0,210,283
2.1,8.9,8.8,75.0,74.0,72.0,262,284
19.7,9.1,9.0,73.0,75.0,73.0,217,285
19.2,9.3,9.2,15.0,76.0,75.0,1588,286
18.8,9.5,9.4,15.0,77.0,76.0,5859,287
18.4,9.7,9.6,15.0,78.0,78.0,4244,288
24.5,15.4,16.0,99.0,98.0,99.0,11,289
23.6,15.7,16.2,99.0,98.0,99.0,0,290
22.7,15.9,16.5,97.0,97.0,97.0,0,291
21.9,16.1,16.7,97.0,97.0,97.0,1,292
21.1,16.3,17.0,95.0,95.0,95.0,10,293
2.3,16.6,17.3,91.0,92.0,91.0,21,294
19.5,16.8,17.5,93.0,93.0,93.0,6,295
18.8,17.1,17.8,96.0,96.0,96.0,7,296
18.0,17.3,18.1,95.0,93.0,95.0,11,297
17.4,17.5,18.3,95.0,96.0,95.0,2,298
16.7,17.8,18.6,95.0,95.0,95.0,11,299
16.1,18.0,18.8,89.0,9.0,89.0,3,300
15.5,18.3,19.1,95.0,96.0,95.0,0,301
14.9,18.6,19.4,83.0,89.0,86.0,27,302
14.4,18.9,19.6,89.0,88.0,88.0,756,303
13.9,19.2,19.9,98.0,98.0,92.0,418,304
52.6,1.2,1.1,99.0,99.0,99.0,0,305
51.9,1.2,1.1,98.0,99.0,98.0,0,306
51.2,1.2,1.1,94.0,95.0,94.0,0,307
5.6,1.2,1.1,93.0,93.0,93.0,0,308
49.9,1.2,1.1,95.0,95.0,95.0,0,309
49.3,1.2,1.1,91.0,9.0,91.0,0,310
48.6,1.2,1.1,93.0,92.0,93.0,0,311
48.0,1.3,1.1,88.0,87.0,88.0,0,312
47.3,1.3,1.2,84.0,85.0,84.0,0,313
46.7,1.3,1.2,83.0,82.0,83.0,0,314
46.0,1.3,1.2,85.0,84.0,85.0,0,315
45.4,1.4,1.2,84.0,84.0,84.0,0,316
44.7,1.4,1.3,8.0,82.0,88.0,0,317
44.0,1.4,1.3,77.0,76.0,77.0,0,318
43.3,1.5,1.4,77.0,71.0,71.0,0,319
42.6,1.5,1.4,77.0,74.0,75.0,122,320
55.8,2.3,2.3,82.0,74.0,82.0,1677,321
55.3,2.4,2.4,89.0,86.0,86.0,3000,322
54.7,2.4,2.4,91.0,87.0,89.0,0,323
54.2,2.5,2.5,92.0,87.0,92.0,22,324
53.7,2.6,2.5,88.0,89.0,88.0,10,325
53.1,2.6,2.6,89.0,9.0,89.0,45,326
52.6,2.7,2.7,9.0,9.0,9.0,22,327
52.1,2.8,2.7,88.0,92.0,91.0,8,328
51.5,2.8,2.8,94.0,95.0,95.0,166,329
51.0,2.9,2.8,9.0,91.0,87.0,17,330
5.5,2.9,2.9,93.0,95.0,93.0,23,331
49.9,3.0,3.0,36.0,87.0,84.0,28,332
49.4,3.0,3.0,36.0,87.0,87.0,18,333
48.8,3.1,3.1,36.0,86.0,8.0,28,334
48.2,3.2,3.2,36.0,92.0,91.0,0,335
47.6,3.3,3.2,36.0,87.0,85.0,43,336
37.9,6.4,6.1,95.0,96.0,95.0,0,337
37.3,6.7,6.4,95.0,96.0,95.0,1,338
36.8,7.0,6.7,95.0,96.0,95.0,1,339
36.2,7.3,7.0,95.0,96.0,95.0,7,340
35.7,7.7,7.4,95.0,96.0,95.0,8,341
35.2,8.0,7.8,95.0,96.0,95.0,853,342
34.7,8.4,8.2,94.0,96.0,96.0,184,343
34.2,8.8,8.6,94.0,96.0,96.0,0,344
33.7,9.2,9.0,93.0,96.0,96.0,1,345
33.2,9.6,9.4,93.0,96.0,96.0,6,346
32.7,1.0,9.9,92.0,96.0,96.0,5,347
32.2,1.5,1.4,91.0,96.0,96.0,1,348
31.6,1.9,1.8,9.0,96.0,96.0,59,349
31.1,11.4,11.3,88.0,97.0,97.0,7,350
3.5,11.8,11.8,87.0,97.0,97.0,1,351
29.9,12.3,12.2,86.0,97.0,97.0,2672,352
56.1,2.7,2.6,96.0,98.0,96.0,214,353
55.3,2.7,2.7,96.0,96.0,93.0,876,354
54.5,2.8,2.7,96.0,96.0,97.0,220,355
53.6,2.8,2.8,96.0,96.0,95.0,2,356
52.8,2.9,2.8,98.0,98.0,99.0,43,357
52.0,2.9,2.9,96.0,99.0,99.0,68,358
51.1,3.0,2.9,99.0,99.0,99.0,0,359
5.3,3.0,3.0,96.0,99.0,99.0,0,360
49.4,3.1,3.0,99.0,99.0,99.0,0,361
48.6,3.1,3.1,99.0,99.0,99.0,57,362
47.8,3.2,3.1,98.0,99.0,99.0,6,363
46.9,3.2,3.2,96.0,99.0,99.0,0,364
46.1,3.3,3.3,97.0,99.0,99.0,2,365
45.3,3.3,3.3,92.0,99.0,99.0,1,366
44.5,3.4,3.4,91.0,99.0,98.0,1,367
43.7,3.4,3.4,94.0,99.0,98.0,36,368
41.2,5.7,5.1,99.0,99.0,99.0,4,369
4.2,5.7,5.2,99.0,99.0,99.0,1,370
39.2,5.8,5.2,98.0,99.0,99.0,0,371
38.2,5.8,5.3,99.0,99.0,99.0,1,372
37.2,5.9,5.4,93.0,99.0,97.0,4,373
36.2,5.9,5.4,96.0,99.0,95.0,0,374
35.2,6.0,5.5,96.0,99.0,99.0,2,375
34.2,6.1,5.6,96.0,97.0,98.0,3,376
33.2,6.2,5.7,97.0,95.0,99.0,0,377
32.2,6.3,5.8,99.0,94.0,97.0,0,378
31.2,6.4,5.9,99.0,93.0,94.0,9,379
3.1,6.5,6.0,99.0,92.0,92.0,16,380
29.1,6.6,6.1,99.0,99.0,92.0,24,381
28.0,6.7,6.1,99.0,99.0,94.0,0,382
27.0,6.8,6.2,99.0,99.0,97.0,11,383
26.1,6.8,6.3,99.0,99.0,99.0,42,384
65.7,1.9,1.8,92.0,91.0,91.0,0,385
65.1,1.9,1.9,95.0,88.0,88.0,0,386
64.5,1.9,1.9,95.0,95.0,95.0,14,387
63.9,1.9,1.9,95.0,95.0,95.0,1,388
63.3,2.0,2.0,96.0,95.0,95.0,157,389
62.7,2.0,2.0,95.0,94.0,94.0,22004,390
62.1,2.0,2.1,96.0,94.0,94.0,2249,391
61.5,2.1,2.1,96.0,96.0,95.0,1,392
6.9,2.1,2.2,95.0,95.0,95.0,1,393
6.3,2.2,2.2,96.0,96.0,95.0,1,394
59.7,2.2,2.3,96.0,97.0,96.0,3,395
59.1,2.3,2.3,94.0,94.0,95.0,0,396
58.6,2.3,2.4,96.0,96.0,96.0,0,397
58.1,2.4,2.4,88.0,94.0,93.0,0,398
57.5,2.4,2.5,93.0,94.0,94.0,8,399
57.0,2.5,2.5,94.0,94.0,93.0,46,400
19.4,8.0,7.5,91.0,91.0,91.0,99,401
18.8,8.2,7.7,91.0,91.0,91.0,343,402
18.2,8.4,7.9,88.0,89.0,88.0,375,403
17.7,8.6,8.1,9.0,9.0,9.0,7362,404
17.1,8.8,8.4,91.0,9.0,91.0,860,405
16.6,9.0,8.6,91.0,9.0,91.0,2511,406
16.1,9.3,8.8,92.0,91.0,92.0,54118,407
15.6,9.5,9.1,93.0,92.0,93.0,395,408
15.1,9.8,9.3,89.0,93.0,89.0,12,409
14.6,1.0,9.6,76.0,94.0,86.0,125,410
14.2,1.3,9.8,76.0,94.0,82.0,253,411
13.7,1.5,1.1,76.0,83.0,79.0,77,412
13.3,1.7,1.3,76.0,83.0,79.0,2946,413
12.9,11.0,1.6,76.0,69.0,69.0,1744,414
12.5,11.2,1.8,76.0,62.0,62.0,4174,415
12.2,11.4,11.1,76.0,45.0,45.0,6074,416
18.7,7.3,7.2,94.0,94.0,94.0,9,417
18.2,7.4,7.3,95.0,95.0,95.0,0,418
17.6,7.4,7.4,96.0,96.0,96.0,0,419
17.1,7.5,7.5,96.0,96.0,96.0,49,420
16.6,7.6,7.6,96.0,95.0,96.0,129,421
16.1,7.7,7.7,96.0,94.0,96.0,495,422
15.7,7.8,7.8,94.0,96.0,94.0,305,423
15.2,7.9,7.9,92.0,89.0,92.0,173,424
14.8,8.0,8.0,99.0,93.0,99.0,43,425
14.5,8.1,8.2,92.0,88.0,92.0,784,426
14.1,8.2,8.3,87.0,82.0,87.0,0,427
13.8,8.4,8.4,83.0,76.0,83.0,2,428
13.5,8.5,8.5,83.0,75.0,82.0,224,429
13.3,8.7,8.7,83.0,74.0,81.0,1016,430
13.0,8.8,8.8,83.0,72.0,81.0,0,431
12.8,9.0,8.9,83.0,71.0,8.0,18363,432
28.0,5.5,5.5,83.0,81.0,83.0,65,433
27.4,5.6,5.6,76.0,76.0,76.0,50,434
26.8,5.8,5.7,8.0,79.0,8.0,48,435
26.2,5.9,5.9,82.0,83.0,82.0,137,436
25.6,6.1,6.0,62.0,58.0,62.0,628,437
25.0,6.3,6.2,85.0,81.0,85.0,441,438
24.4,6.5,6.4,81.0,77.0,81.0,183,439
23.8,6.6,6.6,74.0,58.0,74.0,12,440
23.2,6.8,6.7,76.0,75.0,76.0,5,441
22.6,7.0,6.9,77.0,76.0,77.0,11,442
22.1,7.2,7.1,76.0,87.0,76.0,115,443
21.5,7.3,7.3,67.0,76.0,67.0,3466,444
2.9,7.5,7.5,63.0,68.0,61.0,4770,445
2.4,7.7,7.7,48.0,7.0,64.0,5882,446
19.9,7.9,7.9,1.0,7.0,66.0,5790,447
19.4,8.1,8.1,1.0,66.0,65.0,5729,448
31.3,6.6,6.6,96.0,93.0,93.0,0,449
3.5,6.8,6.7,97.0,95.0,95.0,0,450
29.7,6.9,6.9,94.0,93.0,93.0,0,451
29.0,7.1,7.1,94.0,94.0,94.0,0,452
28.2,7.3,7.2,9.0,9.0,9.0,0,453
27.5,7.4,7.4,98.0,99.0,99.0,0,454
26.8,7.6,7.6,98.0,99.0,99.0,0,455
26.2,7.8,7.8,98.0,99.0,99.0,0,456
25.5,8.1,8.0,96.0,98.0,98.0,0,457
24.9,8.3,8.3,95.0,97.0,96.0,0,458
24.3,8.5,8.5,93.0,95.0,95.0,0,459
23.7,8.7,8.7,91.0,94.0,93.0,0,460
23.2,8.9,8.9,66.0,93.0,92.0,0,461
22.6,9.2,9.1,4.0,92.0,91.0,0,462
22.1,9.4,9.3,4.0,91.0,9.0,0,463
21.5,9.6,9.5,4.0,9.0,9.0,2,464
19.6,1.9,1.9,89.0,87.0,89.0,0,465
18.9,1.9,11.0,88.0,87.0,88.0,0,466
18.2,11.0,11.1,83.0,66.0,83.0,0,467
17.6,11.0,11.2,86.0,84.0,86.0,15,468
17.0,11.0,11.2,88.0,87.0,88.0,722,469
16.4,11.0,11.3,89.0,88.0,89.0,1156,470
15.9,11.1,11.4,92.0,95.0,94.0,4779,471
15.3,11.2,11.4,91.0,91.0,91.0,4211,472
14.8,11.3,11.5,82.0,82.0,82.0,394,473
14.3,11.4,11.6,8.0,8.0,8.0,188,474
13.9,11.5,11.6,8.0,82.0,82.0,264,475
13.5,11.6,11.7,8.0,86.0,85.0,352,476
13.1,11.6,11.7,8.0,69.0,69.0,653,477
12.8,11.6,11.8,8.0,54.0,54.0,1361,478
12.4,11.6,11.8,8.0,59.0,6.0,3761,479
12.1,11.6,11.9,8.0,62.0,59.0,12237,480
29.0,5.6,5.5,84.0,83.0,84.0,1809,481
28.4,5.7,5.7,87.0,86.0,87.0,831,482
27.8,5.8,5.8,89.0,88.0,89.0,760,483
27.2,5.9,5.9,85.0,85.0,85.0,609,484
26.6,6.0,6.0,82.0,8.0,82.0,504,485
26.0,6.1,6.2,84.0,83.0,84.0,240,486
25.4,6.3,6.3,8.0,79.0,8.0,251,487
24.9,6.4,6.5,84.0,82.0,84.0,495,488
24.4,6.6,6.6,82.0,81.0,82.0,100,489
23.8,6.7,6.8,81.0,78.0,81.0,196,490
23.3,6.9,7.0,79.0,79.0,8.0,605,491
22.8,7.0,7.1,79.0,72.0,73.0,358,492
