indice_revenu,annees_scolarisation,consommation_alcool,depenses_sante_pourcentage,pib_habitant,id_socio
0.895,16.6,3.755,0.0,4356.875,241
0.89,16.3,12.6,7163.348923,47439.39684,242
0.889,16.3,11.77,702.359357,4651.38647,243
0.886,16.2,10.08,664.4738975,4474.5717,244
0.884,16.1,10.11,713.5297354,4772.77415,245
0.878,15.9,10.22,665.7356115,4438.23741,246
0.876,15.8,10.05,671.9376566,4488.5615,247
0.874,15.8,10.47,7191.051507,48424.58927,248
0.871,15.8,10.25,640.3560918,4443.83131,249
0.865,15.7,10.98,5579.199083,38852.3613,250
0.861,15.7,12.27,5068.214488,36967.28292,251
0.88,18.8,12.05,5160.508378,35589.71295,252
0.878,18.6,11.28,507.306164,3743.95693,253
0.875,18.8,11.29,320.3177664,2552.3328,254
0.873,18.2,11.01,2943.375396,23121.56635,255
0.869,18.0,11.21,287.2084529,2327.4591,256
0.706,12.8,3.755,0.0,4849.997495,257
0.705,12.8,6.58,670.0920883,4852.223666,258
0.706,12.9,6.56,629.2018591,4688.538443,259
0.702,12.5,6.66,582.8027185,4673.63848,260
0.7,12.4,6.64,605.6286892,4516.24675,261
0.7,12.4,6.76,569.9527122,4344.15177,262
0.7,12.7,6.85,549.8096097,4258.788611,263
0.699,12.8,7.22,51.25232422,447.22796,264
0.7,12.8,7.24,69.63051047,4324.876427,265
0.692,12.3,6.48,387.3324928,4187.3783,266
0.695,12.8,6.25,365.799896,3933.332215,267
0.691,12.5,6.2,325.6807462,3831.53819,268
0.684,12.2,5.67,312.7995946,3679.99523,269
0.678,11.9,4.99,262.8299189,3556.561825,270
0.677,11.8,4.9,251.6586929,3419.275719,271
0.668,11.7,4.79,219.0239836,3364.423711,272
0.481,10.7,3.755,0.0,783.94791,273
0.475,10.7,0.01,90.12206791,943.686575,274
0.466,10.3,0.01,87.4080423,915.2674586,275
0.458,10.0,0.01,9.80407467,837.9551,276
0.454,9.8,1.4,110.2633619,825.9427854,277
0.451,9.5,1.33,94.25737917,757.695974,278
0.448,9.3,1.16,71.01399249,793.45243,279
0.444,9.1,1.28,7.615430126,82.1513498,280
0.438,8.9,1.12,7.49281752,76.535419,281
0.434,8.7,1.19,75.91429496,625.8392,282
0.43,8.5,1.13,7.106997355,61.799977,283
0.423,8.1,1.15,10.73628066,583.493514,284
0.416,7.7,1.35,8.931827297,519.2922847,285
0.407,7.3,1.23,40.48815233,418.6985763,286
0.395,6.6,1.29,45.33476384,378.73654,287
0.389,6.4,1.34,37.38182018,374.1923942,288
0.604,12.5,3.755,0.0,2613.645177,289
0.596,12.5,0.01,209.3921344,2522.7968,290
0.589,12.6,0.01,19.79057439,235.882889,291
0.581,12.3,0.01,188.7373664,2422.816,292
0.572,11.9,0.23,289.8524057,2458.45976,293
0.0,11.4,0.28,244.0391949,2178.921383,294
0.0,10.9,0.17,27.48907048,177.234497,295
0.0,10.5,0.21,302.667579,1795.18137,296
0.0,10.1,0.16,283.806236,1741.142552,297
0.0,9.6,0.29,169.2023968,1335.45696,298
0.0,9.2,0.73,145.5965445,1247.61392,299
0.0,8.8,0.96,2.586698228,197.45788,300
0.0,8.4,0.52,19.15664091,997.7417141,301
0.0,8.0,0.29,151.9755193,885.6382245,302
0.0,7.6,0.14,8.574029812,87.9387673,303
0.0,7.3,0.17,93.35872844,765.8632358,304
0.671,13.8,3.755,0.0,1693.4531885,305
0.666,13.8,3.62,0.0,1693.4531885,306
0.661,13.8,3.78,0.0,1693.4531885,307
0.655,13.8,3.89,0.0,1693.4531885,308
0.649,13.8,3.93,0.0,1693.4531885,309
0.643,13.8,3.95,0.0,1693.4531885,310
0.636,13.8,3.87,0.0,1693.4531885,311
0.632,14.0,3.77,0.0,1693.4531885,312
0.626,14.1,3.47,0.0,1693.4531885,313
0.625,14.3,3.23,0.0,1693.4531885,314
0.622,14.4,2.86,0.0,1693.4531885,315
0.62,14.6,2.66,0.0,1693.4531885,316
0.617,14.4,2.37,0.0,1693.4531885,317
0.61,14.0,2.26,0.0,1693.4531885,318
0.607,13.7,2.2,0.0,1693.4531885,319
0.6,13.3,2.32,0.0,1693.4531885,320
0.747,14.2,3.755,0.0,4574.9787,321
0.742,14.2,4.03,732.8662491,5193.94932,322
0.735,14.2,4.12,75.61062911,535.86555,323
0.728,13.9,4.61,693.8226461,4716.673325,324
0.711,13.4,4.64,7.959131146,55.156834,325
0.717,13.3,4.54,630.3883564,4611.47298,326
0.716,13.3,4.75,645.021302,4697.89732,327
0.71,13.1,5.13,66.04635027,575.31664,328
0.703,12.9,5.16,8.240355867,418.292176,329
0.697,12.7,4.82,38.25414065,344.321698,330
0.0,12.5,4.56,45.71354264,2968.41186,331
0.0,12.3,4.25,3.479918859,265.642661,332
0.0,12.1,4.14,39.86518043,2214.732246,333
0.0,11.9,3.84,151.1399301,1761.537647,334
0.0,11.6,3.85,143.2947487,1524.41222,335
0.0,0.0,3.64,165.6168642,1461.7552,336
0.698,12.6,3.755,0.0,6532.651,337
0.697,12.6,0.01,662.802194,7497.762376,338
0.693,12.6,0.01,1.117811275,77.625783,339
0.687,12.5,0.01,12.83447357,729.231453,340
0.678,12.4,5.76,668.9562854,7645.21469,341
0.669,12.3,5.99,547.0386679,6346.15624,342
0.661,12.2,5.01,426.7855662,5185.729845,343
0.646,12.1,6.56,476.8625872,5623.379566,344
0.63,12.1,6.21,512.5887995,5714.47937,345
0.61,11.9,6.45,76.31867911,5374.554867,346
0.593,11.9,6.37,629.8425643,5351.253732,347
0.58,11.8,4.9,469.5823898,4896.583835,348
0.567,11.8,5.51,299.3671252,4163.6596,349
0.558,11.9,6.41,6.3300072,355.618382,350
0.56,11.8,5.48,306.9527349,3128.97793,351
0.559,11.7,5.37,250.8916484,3349.68823,352
0.754,15.2,3.755,0.0,8757.2622,353
0.747,15.2,7.32,83.16465362,1226.61731,354
0.734,14.2,7.24,916.270845,12216.9446,355
0.73,14.2,7.55,843.1946259,12291.46685,356
0.724,14.0,7.58,1084.999766,13167.47289,357
0.716,13.8,7.52,1111.191325,11224.1548,358
0.714,13.8,7.33,564.5233902,8553.3847,359
0.704,13.3,7.21,526.3780636,8787.61375,360
0.7,13.5,7.19,394.9321299,7313.557962,361
0.698,13.8,7.1,30.30374691,586.145975,362
0.694,13.8,6.97,23.76370075,477.182746,363
0.695,14.0,6.85,186.6090485,3623.47667,364
0.699,14.8,6.95,15.85781237,359.587582,365
0.692,14.6,7.0,140.9824766,2819.649531,366
0.685,14.3,7.13,149.4802091,3146.95177,367
0.677,14.1,7.26,179.4777293,3739.11936,368
0.864,14.9,3.755,0.0,3967.8951,369
0.863,15.0,0.01,269.1432784,4159.8652,370
0.86,14.9,0.01,2845.306444,44597.27968,371
0.852,14.4,0.01,3192.634413,47651.2599,372
0.846,14.1,0.97,295.7730171,4717.273,373
0.845,14.2,0.88,2218.364226,35268.1117,374
0.841,14.1,0.25,1873.686852,27965.4754,375
0.84,14.2,0.67,2538.941033,37951.286,376
0.84,14.3,0.85,2048.557422,32672.36717,377
0.837,14.3,0.67,24.97532919,398.96692,378
0.834,14.1,0.16,179.7147814,2612.13345,379
0.828,13.7,0.11,1504.30004,21896.6527,380
0.823,13.4,0.12,1406.51194,18555.56649,381
0.82,13.3,0.13,941.7036868,16846.2198,382
0.819,13.4,0.47,1078.66244,16468.12886,383
0.818,13.4,0.37,11.79686108,188.44826,384
0.792,15.0,3.755,0.0,6993.47736,385
0.787,14.8,12.03,153.1400362,7853.335191,386
0.781,14.4,12.06,149.659879,7674.86559,387
0.778,14.3,10.99,851.450672,7378.25539,388
0.775,14.2,10.67,875.1495189,7813.83499,389
0.77,13.9,10.8,766.4454884,6843.263289,390
0.768,13.8,10.93,661.5144334,6955.987733,391
0.761,13.8,10.98,107.9826127,7296.122479,392
0.755,13.5,10.89,591.5100978,5932.899677,393
0.75,13.5,10.39,508.6304588,4513.13628,394
0.745,13.5,10.48,456.3404657,3893.68998,395
0.738,13.3,10.96,384.1473028,3381.57837,396
0.729,12.9,11.19,32.38616103,271.46824,397
0.723,12.9,10.2,33.26778134,287.534843,398
0.713,12.9,10.72,25.06262895,1764.97387,399
0.709,12.9,9.69,15.2357274,169.28586,400
0.399,7.7,3.755,0.0,615.592225,401
0.398,7.7,0.01,8.386339501,75.1464113,402
0.392,7.5,4.64,88.97040214,699.452847,403
0.384,7.2,4.75,78.76987363,673.8227,404
0.377,6.7,4.51,85.55592906,666.842783,405
0.365,6.3,4.55,90.46018236,575.4464527,406
0.356,5.9,4.55,81.14304705,552.7455521,407
0.345,5.4,4.5,107.7988339,569.7612784,408
0.334,4.9,4.58,73.92730583,475.11122,409
0.325,4.7,4.73,64.24025208,422.6332374,410
0.0,4.3,4.88,8.769989329,46.998871,411
0.0,3.9,4.54,56.96108089,371.323865,412
0.0,3.8,4.58,41.60951275,332.344351,413
0.0,3.6,4.53,3.195566831,26.7635413,414
0.0,3.5,4.56,23.1016899,235.4912324,415
0.0,3.4,3.71,19.83929597,226.4759814,416
0.406,10.6,3.755,0.0,33.681223,417
0.404,10.6,0.01,41.25159038,312.7489794,418
0.398,10.5,0.01,40.15128458,282.7555252,419
0.393,10.3,0.01,38.73170505,265.285651,420
0.385,9.9,4.16,3.595980333,26.479973,421
0.361,9.3,4.16,31.14187566,231.1943256,422
0.336,8.6,4.05,2.030494673,24.944652,423
0.319,7.9,4.33,15.99415192,196.2472628,424
0.309,7.2,4.54,1.72659515,17.79995,425
0.29,5.9,4.5,21.24915339,165.8794176,426
0.286,5.6,5.54,1.747440948,15.57434,427
0.279,5.2,5.72,11.22655347,127.4296648,428
0.276,4.7,5.84,6.545263634,112.849373,429
0.268,4.4,5.98,9.660010196,122.4335893,430
0.268,4.5,6.09,10.61917585,133.7427689,431
0.268,4.5,6.61,9.696689164,135.9984455,432
0.677,12.3,3.755,0.0,1693.4531885,433
0.677,12.3,0.01,0.0,1693.4531885,434
0.677,12.3,3.15,0.0,1693.4531885,435
0.677,12.3,3.24,0.0,1693.4531885,436
0.677,12.3,3.13,0.0,1693.4531885,437
0.677,12.3,2.92,0.0,1693.4531885,438
0.677,12.3,2.69,0.0,1693.4531885,439
0.677,12.3,2.58,0.0,1693.4531885,440
0.677,12.3,2.65,0.0,1693.4531885,441
0.677,12.3,3.11,0.0,1693.4531885,442
0.677,12.3,3.08,0.0,1693.4531885,443
0.677,12.3,3.12,0.0,1693.4531885,444
0.677,12.3,3.45,0.0,1693.4531885,445
0.646,13.5,3.755,0.0,2954.119467,446
0.643,13.5,0.01,414.0242418,3529.61843,447
0.643,13.6,0.01,325.6298627,3558.796314,448
0.636,13.2,0.01,33.55888998,348.482762,449
0.632,13.1,5.07,4.409153436,367.429453,450
0.627,12.7,4.75,286.8907303,3312.825985,451
0.621,12.4,4.45,339.9777364,3444.5566,452
0.615,12.2,4.16,360.6208825,3638.95946,453
0.602,11.9,5.28,345.463714,3112.285712,454
0.596,11.9,4.25,26.45133197,234.28992,455
0.582,11.2,4.26,3.349816965,248.13459,456
0.574,11.1,4.19,240.139715,1976.45856,457
0.572,11.3,4.16,209.0865,1768.92132,458
0.569,11.3,3.82,155.2072669,1373.515636,459
0.562,11.0,3.81,150.7434862,1268.884564,460
0.0,11.3,3.49,122.5744699,1239.377855,461
0.558,10.9,3.755,0.0,1163.18977,462
0.553,10.9,0.01,12.17952064,198.687123,463
0.546,10.8,0.01,8.758214538,128.419568,464
0.54,10.7,0.01,6.914723983,95.244132,465
0.533,10.7,2.12,60.18591771,882.491462,466
0.519,10.6,2.2,56.88416481,785.6928841,467
0.52,10.5,2.13,48.35423978,738.2326684,468
0.511,10.5,2.24,53.10009046,745.7877873,469
0.495,10.3,2.08,57.73516711,631.675789,470
0.483,10.1,2.03,51.50447119,539.8791529,471
0.47,10.0,1.99,62.21817261,474.2238766,472
0.458,9.7,1.38,8.38611924,48.615184,473
0.445,9.3,1.44,55.59543946,362.4213785,474
0.427,8.2,1.43,30.91060554,339.676984,475
0.412,7.6,1.71,27.68971051,321.22634,476
0.401,7.2,1.51,0.328418056,3.685949,477
0.514,10.4,3.755,0.0,1244.429421,478
0.507,10.4,0.01,61.39263642,1441.1417,479
0.501,10.4,0.01,63.07890158,1365.34419,480
0.496,10.4,0.01,68.55839112,1255.648189,481
0.486,10.0,6.19,83.18071241,1295.649726,482
0.48,9.7,6.15,100.8987451,1182.869227,483
0.473,9.2,5.89,9.042540892,123.19538,484
0.466,8.8,5.9,68.7073044,1233.524316,485
0.456,8.0,5.44,7.562892922,111.71186,486
0.456,8.2,5.22,0.962497052,12.989164,487
0.456,8.3,5.03,73.03276195,952.1872484,488
0.455,8.2,4.71,7.177302132,93.211716,489
0.452,8.1,4.64,67.63925302,824.8689393,490
0.452,8.4,4.58,53.70597428,676.397661,491
0.437,7.1,4.43,41.73629221,614.6729339,492
0.433,6.9,3.91,4.720593531,68.414399,493
0.919,16.3,3.755,0.0,43315.744,494
0.912,15.9,8.1,102.1902168,544.43376,495
0.909,15.9,8.2,9733.228019,52413.72116,496
0.907,15.9,8.3,9748.636237,52496.69487,497
0.903,15.9,8.2,971.9280384,5282.2176,498
0.898,15.9,8.4,8649.674911,47447.4762,499
0.898,15.9,8.4,864.94993,4773.45436,500
0.897,15.8,8.3,8433.936814,46596.33599,501
0.894,15.8,8.3,7946.743581,44544.5268,502
0.891,15.8,8.2,771.1817686,4386.69948,503
0.886,15.8,8.0,6333.177967,36189.58838,504
0.881,15.8,7.8,5513.329924,31979.87195,505
0.877,15.8,7.7,4687.845565,28172.14883,506
0.872,15.8,7.7,3895.856308,24167.8431,507
0.867,15.8,7.6,3665.089703,23691.59472,508
0.864,15.9,7.6,3787.49456,24124.16917,509
0.347,7.1,3.755,0.0,348.381417,510
0.345,7.1,0.01,53.43964323,377.132274,511
0.37,7.1,0.01,52.37766601,337.4849614,512
0.366,7.1,0.01,7.344808214,486.41114,513
0.361,6.8,1.66,58.52947463,494.336779,514
0.352,6.6,1.67,43.48359197,446.4434494,515
0.345,6.4,1.56,40.45156933,449.961839,516
0.338,6.3,1.52,67.34137528,456.8614334,517
0.33,6.2,1.5,60.04884821,397.148467,518
0.323,6.0,1.54,46.90117916,347.673678,519
0.319,5.9,1.5,40.92207976,327.1149461,520
0.315,5.7,1.5,41.50111735,313.21598,521
0.316,5.6,1.49,46.11619441,286.25819,522
0.315,5.4,1.47,31.5941587,253.768343,523
0.314,5.3,1.52,33.65315697,243.1586486,524
0.312,5.2,1.51,30.78382657,243.5429317,525
0.394,7.3,3.755,0.0,777.248751,526
0.39,7.3,0.01,11.3020668,125.998515,527
0.387,7.3,0.64,76.52382535,986.13177,528
0.381,7.3,0.62,57.8242709,973.472574,529
0.37,6.7,0.56,67.76269089,989.2363633,530
0.36,6.7,0.5,43.57328908,896.5697341,531
0.343,6.3,0.47,4.982900401,84.455939,532
0.338,6.0,0.45,49.09198224,929.772391,533
0.306,5.7,0.42,5.962923532,81.683884,534
0.303,5.5,0.41,62.67225971,712.1847694,535
0.306,5.6,0.42,8.936064632,66.2421396,536
0.301,5.6,0.34,72.38451279,454.6765879,537
0.284,5.4,0.42,3.979243535,292.5914364,538
0.303,5.1,0.36,3.039691193,22.854821,539
0.3,4.9,0.3,26.87439074,197.3156442,540
0.0,4.7,0.25,21.52701616,166.231785,541
0.845,16.3,3.755,0.0,13653.2264,542
0.841,16.2,7.16,2352.999591,14817.37778,543
0.831,15.6,7.2,2442.222054,15941.39722,544
0.826,15.5,6.76,2260.777642,15431.9293,545
