pays,statut,continent,population,id_pays
Bosnia and Herzegovina,Developing,Europe,372284,251
Bosnia and Herzegovina,Developing,Europe,3746561,252
Bosnia and Herzegovina,Developing,Europe,3763599,253
Bosnia and Herzegovina,Developing,Europe,3774,254
Bosnia and Herzegovina,Developing,Europe,3779468,255
Bosnia and Herzegovina,Developing,Europe,378153,256
Bosnia and Herzegovina,Developing,Europe,3781287,257
Bosnia and Herzegovina,Developing,Europe,3779247,258
Bosnia and Herzegovina,Developing,Europe,377587,259
Bosnia and Herzegovina,Developing,Europe,3771284,260
Bosnia and Herzegovina,Developing,Europe,376676,261
Botswana,Developing,Afrique,229197,262
Botswana,Developing,Afrique,2168573,263
Botswana,Developing,Afrique,212857,264
Botswana,Developing,Afrique,289315,265
Botswana,Developing,Afrique,251339,266
Botswana,Developing,Afrique,214866,267
Botswana,Developing,Afrique,1979882,268
Botswana,Developing,Afrique,1946351,269
Botswana,Developing,Afrique,1914414,270
Botswana,Developing,Afrique,1884238,271
Botswana,Developing,Afrique,1855852,272
Botswana,Developing,Afrique,182933,273
Botswana,Developing,Afrique,184339,274
Botswana,Developing,Afrique,1779953,275
Botswana,Developing,Afrique,1754935,276
Botswana,Developing,Afrique,172834,277
Brazil,Developing,Amérique du Sud,2596218,278
Brazil,Developing,Amérique du Sud,24213133,279
Brazil,Developing,Amérique du Sud,2248632,280
Brazil,Developing,Amérique du Sud,256983,281
Brazil,Developing,Amérique du Sud,198686688,282
Brazil,Developing,Amérique du Sud,196796269,283
Brazil,Developing,Amérique du Sud,194895996,284
Brazil,Developing,Amérique du Sud,19297929,285
Brazil,Developing,Amérique du Sud,19126637,286
Brazil,Developing,Amérique du Sud,18912412,287
Brazil,Developing,Amérique du Sud,186917361,288
Brazil,Developing,Amérique du Sud,184738458,289
Brazil,Developing,Amérique du Sud,182482149,290
Brazil,Developing,Amérique du Sud,1815121,291
Brazil,Developing,Amérique du Sud,1777567,292
Brazil,Developing,Amérique du Sud,175287587,293
Brunei Darussalam,Developing,Asie,1383743,294
Bulgaria,Developed,Europe,7177991,295
Bulgaria,Developed,Europe,7223938,296
Bulgaria,Developed,Europe,7265115,297
Bulgaria,Developed,Europe,735888,298
Bulgaria,Developed,Europe,7348328,299
Bulgaria,Developed,Europe,7395599,300
Bulgaria,Developed,Europe,7444443,301
Bulgaria,Developed,Europe,7492561,302
Bulgaria,Developed,Europe,7545338,303
Bulgaria,Developed,Europe,76122,304
Bulgaria,Developed,Europe,7658972,305
Bulgaria,Developed,Europe,771686,306
Bulgaria,Developed,Europe,7775327,307
Bulgaria,Developed,Europe,7837161,308
Bulgaria,Developed,Europe,89142,309
Bulgaria,Developed,Europe,817172,310
Burkina Faso,Developing,Afrique,1811624,311
Burkina Faso,Developing,Afrique,17585977,312
Burkina Faso,Developing,Afrique,1772723,313
Burkina Faso,Developing,Afrique,16571216,314
Burkina Faso,Developing,Afrique,168194,315
Burkina Faso,Developing,Afrique,1565217,316
Burkina Faso,Developing,Afrique,1514199,317
Burkina Faso,Developing,Afrique,14689726,318
Burkina Faso,Developing,Afrique,1425221,319
Burkina Faso,Developing,Afrique,13829177,320
Burkina Faso,Developing,Afrique,1342193,321
Burkina Faso,Developing,Afrique,133569,322
Burkina Faso,Developing,Afrique,12654621,323
Burkina Faso,Developing,Afrique,122931,324
Burkina Faso,Developing,Afrique,11944587,325
Burkina Faso,Developing,Afrique,1167942,326
Burundi,Developing,Afrique,119927,327
Burundi,Developing,Afrique,989179,328
Burundi,Developing,Afrique,96186,329
Burundi,Developing,Afrique,931971,330
Burundi,Developing,Afrique,94358,331
Burundi,Developing,Afrique,876693,332
Burundi,Developing,Afrique,848931,333
Burundi,Developing,Afrique,8212264,334
Burundi,Developing,Afrique,7939573,335
Burundi,Developing,Afrique,7675338,336
Burundi,Developing,Afrique,7423289,337
Burundi,Developing,Afrique,7182451,338
Burundi,Developing,Afrique,6953113,339
Burundi,Developing,Afrique,6741569,340
Burundi,Developing,Afrique,6555829,341
Burundi,Developing,Afrique,6476,342
Côte d'Ivoire,Developing,Afrique,1383743,343
Cabo Verde,Developing,Afrique,532913,344
Cabo Verde,Developing,Afrique,526437,345
Cabo Verde,Developing,Afrique,5216,346
Cabo Verde,Developing,Afrique,513979,347
Cabo Verde,Developing,Afrique,5867,348
Cabo Verde,Developing,Afrique,52384,349
Cabo Verde,Developing,Afrique,496963,350
Cabo Verde,Developing,Afrique,491723,351
Cabo Verde,Developing,Afrique,486438,352
Cabo Verde,Developing,Afrique,48795,353
Cabo Verde,Developing,Afrique,474567,354
Cabo Verde,Developing,Afrique,467664,355
Cabo Verde,Developing,Afrique,46147,356
Cabo Verde,Developing,Afrique,45216,357
Cabo Verde,Developing,Afrique,443716,358
Cabo Verde,Developing,Afrique,43579,359
Cambodia,Developing,Asie,15517635,360
Cambodia,Developing,Asie,152779,361
Cambodia,Developing,Asie,1522692,362
Cambodia,Developing,Asie,14776866,363
Cambodia,Developing,Asie,14537886,364
Cambodia,Developing,Asie,143874,365
Cambodia,Developing,Asie,14928,366
Cambodia,Developing,Asie,138859,367
Cambodia,Developing,Asie,13676693,368
Cambodia,Developing,Asie,13474489,369
Cambodia,Developing,Asie,132721,370
Cambodia,Developing,Asie,1363377,371
Cambodia,Developing,Asie,12853124,372
Cambodia,Developing,Asie,12634729,373
Cambodia,Developing,Asie,1242473,374
Cambodia,Developing,Asie,12152354,375
Cameroon,Developing,Afrique,22834522,376
Cameroon,Developing,Afrique,2223994,377
Cameroon,Developing,Afrique,21655715,378
Cameroon,Developing,Afrique,2182383,379
Cameroon,Developing,Afrique,252447,380
Cameroon,Developing,Afrique,1997495,381
Cameroon,Developing,Afrique,19432541,382
Cameroon,Developing,Afrique,18978,383
Cameroon,Developing,Afrique,18395389,384
Cameroon,Developing,Afrique,17899562,385
Cameroon,Developing,Afrique,1742795,386
Cameroon,Developing,Afrique,1695981,387
Cameroon,Developing,Afrique,16513822,388
Cameroon,Developing,Afrique,1684886,389
Cameroon,Developing,Afrique,15671927,390
Cameroon,Developing,Afrique,15274234,391
Canada,Developing,Amérique du Nord,3584861,392
Canada,Developing,Amérique du Nord,35544564,393
Canada,Developing,Amérique du Nord,35155451,394
Canada,Developing,Amérique du Nord,3475545,395
Canada,Developing,Amérique du Nord,3434278,396
Canada,Developing,Amérique du Nord,345274,397
Canada,Developing,Amérique du Nord,33628571,398
Canada,Developing,Amérique du Nord,33245773,399
Canada,Developing,Amérique du Nord,32887928,400
Canada,Developing,Amérique du Nord,325755,401
Canada,Developing,Amérique du Nord,32312,402
Canada,Developing,Amérique du Nord,31995,403
Canada,Developing,Amérique du Nord,31676,404
Canada,Developing,Amérique du Nord,31362,405
Canada,Developing,Amérique du Nord,31819,406
Canada,Developing,Amérique du Nord,37697,407
Central African Republic,Developing,Afrique,45461,408
Central African Republic,Developing,Afrique,4515392,409
Central African Republic,Developing,Afrique,4499653,410
Central African Republic,Developing,Afrique,449416,411
Central African Republic,Developing,Afrique,4476153,412
Central African Republic,Developing,Afrique,4448525,413
Central African Republic,Developing,Afrique,44423,414
Central African Republic,Developing,Afrique,4345386,415
Central African Republic,Developing,Afrique,42758,416
Central African Republic,Developing,Afrique,421758,417
Central African Republic,Developing,Afrique,412791,418
Central African Republic,Developing,Afrique,45536,419
Central African Republic,Developing,Afrique,3981665,420
Central African Republic,Developing,Afrique,397612,421
Central African Republic,Developing,Afrique,383223,422
Central African Republic,Developing,Afrique,3754986,423
Chad,Developing,Afrique,149413,424
Chad,Developing,Afrique,13569438,425
Chad,Developing,Afrique,13133589,426
Chad,Developing,Afrique,1275135,427
Chad,Developing,Afrique,12288651,428
Chad,Developing,Afrique,1188722,429
Chad,Developing,Afrique,1152786,430
Chad,Developing,Afrique,11133861,431
Chad,Developing,Afrique,177578,432
Chad,Developing,Afrique,1421597,433
Chad,Developing,Afrique,1679,434
Chad,Developing,Afrique,97143,435
Chad,Developing,Afrique,935321,436
Chad,Developing,Afrique,91689,437
Chad,Developing,Afrique,866312,438
Chad,Developing,Afrique,8342559,439
Chile,Developing,Amérique du Sud,17762681,440
Chile,Developing,Amérique du Sud,17613798,441
Chile,Developing,Amérique du Sud,17462982,442
Chile,Developing,Amérique du Sud,1739746,443
Chile,Developing,Amérique du Sud,17153357,444
Chile,Developing,Amérique du Sud,16993354,445
Chile,Developing,Amérique du Sud,16829442,446
Chile,Developing,Amérique du Sud,16661942,447
Chile,Developing,Amérique du Sud,16491687,448
Chile,Developing,Amérique du Sud,16319792,449
Chile,Developing,Amérique du Sud,1614764,450
Chile,Developing,Amérique du Sud,15973778,451
Chile,Developing,Amérique du Sud,15799542,452
Chile,Developing,Amérique du Sud,15623635,453
Chile,Developing,Amérique du Sud,15444969,454
Chile,Developing,Amérique du Sud,15262754,455
China,Developing,Asie,137122,456
China,Developing,Asie,136427,457
China,Developing,Asie,135738,458
China,Developing,Asie,135695,459
China,Developing,Asie,134413,460
China,Developing,Asie,133775,461
China,Developing,Asie,133126,462
China,Developing,Asie,1324655,463
China,Developing,Asie,1317885,464
China,Developing,Asie,13112,465
China,Developing,Asie,13372,466
China,Developing,Asie,129675,467
China,Developing,Asie,12884,468
China,Developing,Asie,1284,469
China,Developing,Asie,127185,470
China,Developing,Asie,1262645,471
Colombia,Developing,Amérique du Sud,48228697,472
Colombia,Developing,Amérique du Sud,47791911,473
Colombia,Developing,Amérique du Sud,47342981,474
Colombia,Developing,Amérique du Sud,46881475,475
Colombia,Developing,Amérique du Sud,4646646,476
Colombia,Developing,Amérique du Sud,4591897,477
Colombia,Developing,Amérique du Sud,45416181,478
Colombia,Developing,Amérique du Sud,4491544,479
Colombia,Developing,Amérique du Sud,44374572,480
Colombia,Developing,Amérique du Sud,43835722,481
Colombia,Developing,Amérique du Sud,43285634,482
Colombia,Developing,Amérique du Sud,42724163,483
Colombia,Developing,Amérique du Sud,42152151,484
Colombia,Developing,Amérique du Sud,41572491,485
Colombia,Developing,Amérique du Sud,498899,486
Colombia,Developing,Amérique du Sud,443958,487
Comoros,Developing,Afrique,777424,488
Comoros,Developing,Afrique,759385,489
Comoros,Developing,Afrique,7415,490
Comoros,Developing,Afrique,723868,491
Comoros,Developing,Afrique,76569,492
Comoros,Developing,Afrique,689692,493
Comoros,Developing,Afrique,673252,494
Comoros,Developing,Afrique,657229,495
Comoros,Developing,Afrique,64162,496
Comoros,Developing,Afrique,626425,497
Comoros,Developing,Afrique,611627,498
Comoros,Developing,Afrique,597228,499
Comoros,Developing,Afrique,583211,500
Comoros,Developing,Afrique,569479,501
Comoros,Developing,Afrique,555888,502
Comoros,Developing,Afrique,542357,503
Congo,Developing,Afrique,1383743,504
Costa Rica,Developing,Amérique du Nord,487852,505
Costa Rica,Developing,Amérique du Nord,4757575,506
Costa Rica,Developing,Amérique du Nord,47641,507
Costa Rica,Developing,Amérique du Nord,4654122,508
Costa Rica,Developing,Amérique du Nord,46474,509
Costa Rica,Developing,Amérique du Nord,454528,510
Costa Rica,Developing,Amérique du Nord,4488263,511
Costa Rica,Developing,Amérique du Nord,442958,512
Costa Rica,Developing,Amérique du Nord,4369469,513
Costa Rica,Developing,Amérique du Nord,438794,514
Costa Rica,Developing,Amérique du Nord,4247841,515
Costa Rica,Developing,Amérique du Nord,418738,516
Costa Rica,Developing,Amérique du Nord,4125971,517
Costa Rica,Developing,Amérique du Nord,46324,518
Costa Rica,Developing,Amérique du Nord,3996798,519
Costa Rica,Developing,Amérique du Nord,3925443,520
Croatia,Developed,Europe,42364,521
Croatia,Developed,Europe,4238389,522
Croatia,Developed,Europe,4255689,523
Croatia,Developed,Europe,4267558,524
Croatia,Developed,Europe,428622,525
Croatia,Developed,Europe,4417781,526
Croatia,Developed,Europe,442978,527
Croatia,Developed,Europe,443458,528
Croatia,Developed,Europe,4436,529
Croatia,Developed,Europe,444,530
Croatia,Developed,Europe,4442,531
Croatia,Developed,Europe,4439,532
Croatia,Developed,Europe,4426,533
Cuba,Developing,Amérique du Nord,1383743,534
Cyprus,Developed,Asie,116985,535
Cyprus,Developed,Asie,115239,536
Cyprus,Developed,Asie,1143896,537
Cyprus,Developed,Asie,113562,538
Cyprus,Developed,Asie,1124835,539
Cyprus,Developed,Asie,111267,540
Cyprus,Developed,Asie,19876,541
Cyprus,Developed,Asie,181563,542
Cyprus,Developed,Asie,163712,543
Cyprus,Developed,Asie,14559,544
Cyprus,Developed,Asie,127658,545
Cyprus,Developed,Asie,1141,546
Cyprus,Developed,Asie,993563,547
Cyprus,Developed,Asie,976966,548
Cyprus,Developed,Asie,96282,549
Cyprus,Developed,Asie,943286,550
Czechia,Developed,Europe,1383743,551
North Korea,Developing,Asie,1383743,552
Democratic Republic of the Congo,Developing,Afrique,1383743,553
Denmark,Developed,Europe,5683483,554
Denmark,Developed,Europe,5643475,555
Denmark,Developed,Europe,5614932,556
Denmark,Developed,Europe,5591572,557
Denmark,Developed,Europe,557572,558
Denmark,Developed,Europe,5547683,559
Denmark,Developed,Europe,552395,560
Denmark,Developed,Europe,5493621,561
Denmark,Developed,Europe,5461438,562
Denmark,Developed,Europe,5437272,563
Denmark,Developed,Europe,5419432,564
Denmark,Developed,Europe,544523,565
Denmark,Developed,Europe,539574,566
Denmark,Developed,Europe,5375931,567
Denmark,Developed,Europe,5358783,568
Denmark,Developed,Europe,5339616,569
Djibouti,Developing,Afrique,927414,570
Djibouti,Developing,Afrique,912164,571
Djibouti,Developing,Afrique,896688,572
Djibouti,Developing,Afrique,881185,573
Djibouti,Developing,Afrique,865937,574
Djibouti,Developing,Afrique,851146,575
Djibouti,Developing,Afrique,83684,576
Djibouti,Developing,Afrique,822934,577
Djibouti,Developing,Afrique,8942,578
Djibouti,Developing,Afrique,79628,579
Djibouti,Developing,Afrique,783254,580
Djibouti,Developing,Afrique,77752,581
Djibouti,Developing,Afrique,758615,582
Djibouti,Developing,Afrique,746221,583
Djibouti,Developing,Afrique,732711,584
Djibouti,Developing,Afrique,717584,585
Dominican Republic,Developing,Amérique du Nord,1528394,586
Dominican Republic,Developing,Amérique du Nord,145844,587
Dominican Republic,Developing,Amérique du Nord,1281296,588
Dominican Republic,Developing,Amérique du Nord,115495,589
Dominican Republic,Developing,Amérique du Nord,12795,590
Dominican Republic,Developing,Amérique du Nord,9897985,591
Dominican Republic,Developing,Amérique du Nord,9767758,592
Dominican Republic,Developing,Amérique du Nord,963652,593
Dominican Republic,Developing,Amérique du Nord,954353,594
Dominican Republic,Developing,Amérique du Nord,9371338,595
Dominican Republic,Developing,Amérique du Nord,9237566,596
Dominican Republic,Developing,Amérique du Nord,912998,597
Dominican Republic,Developing,Amérique du Nord,896776,598
Dominican Republic,Developing,Amérique du Nord,8832285,599
Dominican Republic,Developing,Amérique du Nord,8697126,600
Dominican Republic,Developing,Amérique du Nord,8562622,601
Ecuador,Developing,Amérique du Sud,16144368,602
Ecuador,Developing,Amérique du Sud,1593112,603
Ecuador,Developing,Amérique du Sud,15661547,604
Ecuador,Developing,Amérique du Sud,15419666,605
Ecuador,Developing,Amérique du Sud,15177355,606
Ecuador,Developing,Amérique du Sud,1493469,607
Ecuador,Developing,Amérique du Sud,14691275,608
Ecuador,Developing,Amérique du Sud,14447562,609
Ecuador,Developing,Amérique du Sud,1425453,610
Ecuador,Developing,Amérique du Sud,1396748,611
Ecuador,Developing,Amérique du Sud,13735233,612
Ecuador,Developing,Amérique du Sud,1359647,613
Ecuador,Developing,Amérique du Sud,1328961,614
Ecuador,Developing,Amérique du Sud,13726,615
Ecuador,Developing,Amérique du Sud,12852755,616
Ecuador,Developing,Amérique du Sud,12628596,617
Egypt,Developing,Afrique,1383743,618
El Salvador,Developing,Amérique du Nord,6312478,619
El Salvador,Developing,Amérique du Nord,6281189,620
El Salvador,Developing,Amérique du Nord,625777,621
El Salvador,Developing,Amérique du Nord,6221246,622
El Salvador,Developing,Amérique du Nord,619256,623
El Salvador,Developing,Amérique du Nord,6164626,624
El Salvador,Developing,Amérique du Nord,6137276,625
El Salvador,Developing,Amérique du Nord,61131,626
El Salvador,Developing,Amérique du Nord,683475,627
El Salvador,Developing,Amérique du Nord,656478,628
El Salvador,Developing,Amérique du Nord,628961,629
El Salvador,Developing,Amérique du Nord,6775,630
El Salvador,Developing,Amérique du Nord,5971535,631
El Salvador,Developing,Amérique du Nord,59433,632
El Salvador,Developing,Amérique du Nord,595962,633
El Salvador,Developing,Amérique du Nord,5867626,634
Equatorial Guinea,Developing,Afrique,1175389,635
Equatorial Guinea,Developing,Afrique,1129424,636
Equatorial Guinea,Developing,Afrique,183746,637
Equatorial Guinea,Developing,Afrique,138593,638
Equatorial Guinea,Developing,Afrique,99429,639
Equatorial Guinea,Developing,Afrique,95114,640
Equatorial Guinea,Developing,Afrique,99111,641
Equatorial Guinea,Developing,Afrique,868418,642
Equatorial Guinea,Developing,Afrique,829327,643
Equatorial Guinea,Developing,Afrique,792217,644
Equatorial Guinea,Developing,Afrique,757317,645
Equatorial Guinea,Developing,Afrique,724817,646
Equatorial Guinea,Developing,Afrique,694611,647
Equatorial Guinea,Developing,Afrique,66647,648
Equatorial Guinea,Developing,Afrique,639762,649
Equatorial Guinea,Developing,Afrique,614323,650
Eritrea,Developing,Afrique,447469,651
Eritrea,Developing,Afrique,43984,652
Eritrea,Developing,Afrique,431334,653
Eritrea,Developing,Afrique,4232636,654
Eritrea,Developing,Afrique,4153332,655
Eritrea,Developing,Afrique,466648,656
Eritrea,Developing,Afrique,39697,657
Eritrea,Developing,Afrique,3858623,658
Eritrea,Developing,Afrique,3738265,659
Eritrea,Developing,Afrique,3614639,660
Eritrea,Developing,Afrique,3497124,661
Eritrea,Developing,Afrique,339281,662
Estonia,Developing,Europe,131547,663
Estonia,Developing,Europe,1314545,664
Estonia,Developing,Europe,1317997,665
Estonia,Developing,Europe,1322696,666
Estonia,Developing,Europe,1327439,667
Estonia,Developing,Europe,1331475,668
